source,source_sobel_si,qp,cu_count,coded_area,mean_area,median_area,mean_equivalent_side,cu_density_per_mpixel,dominant_sizes
kodim08.png,157.11382891853802,27,8115,393216,48.45545286506469,32.0,6.443936802285514,20637.51220703125,4x4:1996; 4x8:1902; 8x4:1598; 8x8:868; 4x16:585; 16x4:394
kodim08.png,157.11382891853802,32,6732,393216,58.409982174688054,32.0,6.996867790409848,17120.361328125,4x8:1452; 4x4:1310; 8x4:1217; 8x8:776; 4x16:605; 16x4:385
kodim08.png,157.11382891853802,37,5296,393216,74.24773413897282,64.0,7.78866175266352,13468.424479166666,4x8:1008; 8x4:804; 4x4:752; 8x8:631; 4x16:587; 16x4:352
kodim09.png,81.27218115066475,22,3790,393216,103.7509234828496,32.0,8.508227158511339,9638.468424479166,4x4:706; 4x8:669; 8x4:572; 8x8:367; 16x4:255; 16x8:245
kodim09.png,81.27218115066475,27,2999,393216,131.11570523507837,64.0,9.20956980279046,7626.851399739583,4x4:482; 4x8:457; 8x4:410; 8x8:326; 4x16:222; 16x4:190
kodim09.png,81.27218115066475,32,2411,393216,163.092492741601,64.0,10.163833266258111,6131.490071614583,4x8:349; 4x4:292; 8x4:285; 8x8:235; 16x8:182; 16x4:172
kodim09.png,81.27218115066475,37,1729,393216,227.42394447657605,64.0,11.944480241588877,4397.074381510417,4x8:183; 8x16:147; 4x4:144; 4x16:144; 16x8:143; 8x8:141
kodim10.png,74.26826721681805,22,5346,393216,73.55331088664423,32.0,7.697355895529524,13595.5810546875,4x8:1051; 4x4:912; 8x4:853; 8x8:619; 4x16:458; 8x16:379
kodim10.png,74.26826721681805,27,4242,393216,92.6958981612447,64.0,8.476509481732071,10787.9638671875,4x8:691; 4x4:642; 8x4:602; 8x8:533; 8x16:346; 4x16:276
kodim10.png,74.26826721681805,32,3250,393216,120.98953846153846,64.0,9.543648344920566,8265.177408854166,8x4:444; 4x8:420; 8x8:373; 4x4:372; 16x8:292; 8x16:251
kodim10.png,74.26826721681805,37,2210,393216,177.9257918552036,64.0,11.342552342495846,5620.320638020833,8x8:262; 4x8:225; 16x8:217; 8x4:203; 16x4:175; 8x16:171
